Date,Miner Revenue
2009-11-25,4650
2009-11-26,4500
2009-11-27,4200
2009-11-28,3700
2009-11-29,3550
2009-11-30,3000
2009-12-01,3750
2009-12-02,3650.22
2009-12-03,4700
2009-12-04,4400
2009-12-05,1800
2009-12-06,3200
2009-12-07,5150
2009-12-08,5600
2009-12-09,5250
2009-12-10,4800
2009-12-11,5200
2009-12-12,5600
2009-12-13,5500
2009-12-14,5700
2009-12-15,5100
2009-12-16,5500
2009-12-17,6800
2009-12-18,8450
2009-12-19,11250
2009-12-20,9900
2009-12-21,8750
2009-12-22,8750
2009-12-23,8100
2009-12-24,7700
2009-12-25,7700
2009-12-26,7450
2009-12-27,8700
2009-12-28,8350
2009-12-29,6850
2009-12-30,8550
2009-12-31,7050
2010-01-01,6900
2010-01-02,6600
2010-01-03,6300
2010-01-04,9300
2010-01-05,9050
2010-01-06,9900
2010-01-07,8150
2010-01-08,7700
2010-01-09,7650
2010-01-10,7550
2010-01-11,9500
2010-01-12,7950
2010-01-13,7950.26
2010-01-14,8200
2010-01-15,7150
2010-01-16,7050
2010-01-17,6250
2010-01-18,6550
2010-01-19,6250
2010-01-20,6200
2010-01-21,7900
2010-01-22,8750
2010-01-23,6650
2010-01-24,8000
2010-01-25,7700
2010-01-26,10550
2010-01-27,9750
2010-01-28,8200
2010-01-29,8850
2010-01-30,9850
2010-01-31,10500
2010-02-01,8250
2010-02-02,9200
2010-02-03,7250
2010-02-04,13500
2010-02-05,11450
2010-02-06,11150
2010-02-07,9600
2010-02-08,10850
2010-02-09,10000
2010-02-10,10350.44
2010-02-11,8400
2010-02-12,8450
2010-02-13,9150
2010-02-14,11600
2010-02-15,10400
2010-02-16,8800
2010-02-17,9750
2010-02-18,11950
2010-02-19,10400
2010-02-20,9600
2010-02-21,10400
2010-02-22,11150
2010-02-23,13000
2010-02-24,12500
2010-02-25,8550
2010-02-26,7700
2010-02-27,8600
2010-02-28,8600
2010-03-01,7800
2010-03-02,9750
2010-03-03,9400
2010-03-04,7600
2010-03-05,9250
2010-03-06,8550
2010-03-07,8850
2010-03-08,8950
2010-03-09,6250
2010-03-10,7300
2010-03-11,8100
2010-03-12,6650
2010-03-13,6050
2010-03-14,7650
2010-03-15,6250
2010-03-16,6750
2010-03-17,6300
2010-03-18,6800
2010-03-19,7000
2010-03-20,7650
2010-03-21,9600
2010-03-22,9150
2010-03-23,8950
2010-03-24,10350
2010-03-25,8550
2010-03-26,9350
2010-03-27,9850
2010-03-28,8900
2010-03-29,9300
2010-03-30,9750
2010-03-31,10750
2010-04-01,10450
2010-04-02,8400
2010-04-03,7800
2010-04-04,8050
2010-04-05,8550.26
2010-04-06,7650
2010-04-07,7950
2010-04-08,9650
2010-04-09,9150
2010-04-10,9450
2010-04-11,13000
2010-04-12,11150
2010-04-13,10150
2010-04-14,9450
2010-04-15,9000
2010-04-16,10800
2010-04-17,10100
2010-04-18,11050
2010-04-19,12250
2010-04-20,11600
2010-04-21,10250
2010-04-22,10950
2010-04-23,7950
2010-04-24,7500
2010-04-25,8400
2010-04-26,7900
2010-04-27,8200
2010-04-28,9000
2010-04-29,9000
2010-04-30,7350
2010-05-01,7200
2010-05-02,9150
2010-05-03,7750
2010-05-04,7950
2010-05-05,6800
2010-05-06,6850
2010-05-07,7450
2010-05-08,6600
2010-05-09,7700
2010-05-10,7150
2010-05-11,6400
2010-05-12,5550
2010-05-13,6350
2010-05-14,6400
2010-05-15,6156.71
2010-05-16,4552.64
2010-05-17,5650
2010-05-18,7150
2010-05-19,8400
2010-05-20,8200
2010-05-21,10150
2010-05-22,8800
2010-05-23,9750.99
2010-05-24,10550
2010-05-25,9400
2010-05-26,10500
2010-05-27,11150
2010-05-28,9600
2010-05-29,11150
2010-05-30,9200
2010-05-31,7450
2010-06-01,7100
2010-06-02,6750
2010-06-03,7350
2010-06-04,7600
2010-06-05,6250
2010-06-06,7250
2010-06-07,7400
2010-06-08,7850
2010-06-09,8000
2010-06-10,8400
2010-06-11,8000
2010-06-12,8400
2010-06-13,6750
2010-06-14,8600
2010-06-15,8050
2010-06-16,9200
2010-06-17,7100
2010-06-18,7300
2010-06-19,7500
2010-06-20,7500
2010-06-21,9250
2010-06-22,7700
2010-06-23,7800
2010-06-24,9350
2010-06-25,8450
2010-06-26,7500
2010-06-27,7950
2010-06-28,8900
2010-06-29,7600
2010-06-30,8450
2010-07-01,9101.37
2010-07-02,10550
2010-07-03,8350
2010-07-04,10600
2010-07-05,8300
2010-07-06,8950
2010-07-07,8450
2010-07-08,7800
2010-07-09,7550
2010-07-10,9950
2010-07-11,9900
2010-07-12,8950
2010-07-13,32950
2010-07-14,34600
2010-07-15,28900.01
2010-07-16,31200.66
2010-07-17,25250.27
2010-07-18,8650.13
2010-07-19,8600.79
2010-07-20,8700.05
2010-07-21,9050
2010-07-22,10350
2010-07-23,8800
2010-07-24,9700.01
2010-07-25,9450
2010-07-26,11552.91
2010-07-27,12151.5
2010-07-28,8300.67
2010-07-29,7951.05
2010-07-30,9000.89
2010-07-31,9100.3
2010-08-01,10150.31
2010-08-02,11950.29
2010-08-03,12100.21
2010-08-04,11350
2010-08-05,12150
2010-08-06,10900
2010-08-07,7352.31
2010-08-08,7750
2010-08-09,9950
2010-08-10,9504.32
2010-08-11,9550
2010-08-12,11650
2010-08-13,10850
2010-08-14,10750
2010-08-15,14050
2010-08-16,10350
2010-08-17,7350.67
2010-08-18,6450
2010-08-19,6651.56
2010-08-20,6750
2010-08-21,9650
2010-08-22,8650
2010-08-23,10600
2010-08-24,10650
2010-08-25,10750.8
2010-08-26,10800
2010-08-27,10500
2010-08-28,8550
2010-08-29,8500.0000011
2010-08-30,8100.24
2010-08-31,7450.35
2010-09-01,9200.2200003
2010-09-02,7850.0600002
2010-09-03,7800
2010-09-04,8200
2010-09-05,9050
2010-09-06,8250.01
2010-09-07,7900.0000001
2010-09-08,8000
2010-09-09,8250.0000002
2010-09-10,6750.1100001
2010-09-11,8850.0000001
2010-09-12,8000
2010-09-13,8850.15
2010-09-14,8550.0000001
2010-09-15,10150.00960352
2010-09-16,8450
2010-09-17,10950
2010-09-18,10400
2010-09-19,11850.18
2010-09-20,10450
2010-09-21,10150
2010-09-22,8600.0000001
2010-09-23,8700
2010-09-24,11700
2010-09-25,11400
2010-09-26,10350
2010-09-27,10250
2010-09-28,11450.02
2010-09-29,10601.44
2010-09-30,8200
2010-10-01,7300
2010-10-02,7700.56
2010-10-03,5000.00776813
2010-10-04,6100.00776625
2010-10-05,7650.00000099
2010-10-06,6300
2010-10-07,8550.00000109
2010-10-08,8000
2010-10-09,7700
2010-10-10,7900
